Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.946 ± 0.034,0.894 ± 0.011,0.922 ± 0.026,0.943 ± 0.069,0.921 ± 0.056,0.911 ± 0.064,0.939 ± 0.039,0.914 ± 0.061,0.913 ± 0.030,0.905 ± 0.056,0.908 ± 0.033,0.909 ± 0.061,0.901 ± 0.057
2,0.916 ± 0.037,0.895 ± 0.043,0.886 ± 0.051,0.918 ± 0.025,0.887 ± 0.041,0.873 ± 0.043,0.905 ± 0.047,0.890 ± 0.028,0.872 ± 0.051,0.872 ± 0.044,0.863 ± 0.052,0.882 ± 0.039,0.863 ± 0.050
3,0.895 ± 0.050,0.839 ± 0.039,0.829 ± 0.059,0.832 ± 0.032,0.806 ± 0.039,0.768 ± 0.050,0.875 ± 0.062,0.811 ± 0.045,0.806 ± 0.075,0.781 ± 0.057,0.801 ± 0.080,0.806 ± 0.049,0.775 ± 0.062
4,0.888 ± 0.044,0.830 ± 0.037,0.760 ± 0.073,0.834 ± 0.047,0.764 ± 0.030,0.716 ± 0.029,0.867 ± 0.048,0.799 ± 0.020,0.728 ± 0.090,0.734 ± 0.035,0.721 ± 0.092,0.785 ± 0.013,0.727 ± 0.035
5,0.882 ± 0.046,0.822 ± 0.038,0.721 ± 0.079,0.815 ± 0.049,0.732 ± 0.052,0.675 ± 0.052,0.857 ± 0.052,0.778 ± 0.024,0.682 ± 0.095,0.696 ± 0.056,0.673 ± 0.098,0.762 ± 0.012,0.687 ± 0.057
6,0.873 ± 0.049,0.806 ± 0.018,0.702 ± 0.091,0.800 ± 0.024,0.714 ± 0.053,0.646 ± 0.061,0.842 ± 0.062,0.768 ± 0.011,0.655 ± 0.117,0.671 ± 0.070,0.641 ± 0.126,0.745 ± 0.021,0.658 ± 0.076
7,0.861 ± 0.047,0.794 ± 0.015,0.689 ± 0.081,0.780 ± 0.029,0.700 ± 0.052,0.623 ± 0.059,0.825 ± 0.058,0.745 ± 0.027,0.635 ± 0.108,0.649 ± 0.070,0.618 ± 0.117,0.719 ± 0.027,0.633 ± 0.077
8,0.861 ± 0.049,0.768 ± 0.026,0.648 ± 0.067,0.761 ± 0.077,0.666 ± 0.067,0.564 ± 0.096,0.820 ± 0.057,0.719 ± 0.078,0.589 ± 0.090,0.611 ± 0.080,0.567 ± 0.098,0.690 ± 0.074,0.591 ± 0.086
9,0.862 ± 0.055,0.779 ± 0.021,0.673 ± 0.076,0.757 ± 0.062,0.679 ± 0.051,0.589 ± 0.058,0.824 ± 0.067,0.712 ± 0.049,0.617 ± 0.106,0.626 ± 0.065,0.598 ± 0.116,0.684 ± 0.033,0.608 ± 0.071
10,0.839 ± 0.071,0.750 ± 0.014,0.675 ± 0.068,0.718 ± 0.067,0.662 ± 0.051,0.549 ± 0.072,0.786 ± 0.090,0.658 ± 0.049,0.607 ± 0.107,0.595 ± 0.065,0.578 ± 0.127,0.615 ± 0.046,0.566 ± 0.077
