Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.961 ± 0.012,0.895 ± 0.020,0.924 ± 0.039,0.849 ± 0.082,0.874 ± 0.066,0.860 ± 0.072,0.956 ± 0.012,0.842 ± 0.086,0.921 ± 0.042,0.868 ± 0.070,0.919 ± 0.040,0.841 ± 0.087,0.868 ± 0.071
2,0.938 ± 0.018,0.897 ± 0.038,0.935 ± 0.032,0.825 ± 0.092,0.856 ± 0.061,0.838 ± 0.074,0.931 ± 0.018,0.815 ± 0.095,0.922 ± 0.031,0.847 ± 0.063,0.919 ± 0.030,0.813 ± 0.096,0.845 ± 0.061
3,0.913 ± 0.026,0.860 ± 0.054,0.933 ± 0.051,0.809 ± 0.128,0.841 ± 0.074,0.812 ± 0.095,0.900 ± 0.029,0.790 ± 0.128,0.901 ± 0.038,0.824 ± 0.071,0.891 ± 0.037,0.784 ± 0.126,0.819 ± 0.068
4,0.899 ± 0.026,0.826 ± 0.019,0.929 ± 0.032,0.720 ± 0.047,0.785 ± 0.024,0.740 ± 0.023,0.878 ± 0.033,0.689 ± 0.046,0.891 ± 0.031,0.761 ± 0.024,0.867 ± 0.039,0.682 ± 0.045,0.755 ± 0.024
5,0.880 ± 0.032,0.809 ± 0.020,0.905 ± 0.048,0.645 ± 0.062,0.721 ± 0.040,0.655 ± 0.043,0.851 ± 0.043,0.598 ± 0.058,0.866 ± 0.042,0.683 ± 0.038,0.834 ± 0.055,0.585 ± 0.056,0.672 ± 0.038
6,0.842 ± 0.024,0.812 ± 0.017,0.893 ± 0.020,0.634 ± 0.075,0.707 ± 0.052,0.638 ± 0.069,0.806 ± 0.027,0.566 ± 0.077,0.823 ± 0.030,0.652 ± 0.054,0.782 ± 0.033,0.547 ± 0.079,0.637 ± 0.054
7,0.812 ± 0.028,0.808 ± 0.022,0.895 ± 0.033,0.634 ± 0.051,0.712 ± 0.040,0.643 ± 0.055,0.767 ± 0.039,0.551 ± 0.050,0.790 ± 0.038,0.645 ± 0.042,0.739 ± 0.052,0.524 ± 0.050,0.622 ± 0.045
8,0.796 ± 0.042,0.781 ± 0.010,0.885 ± 0.030,0.567 ± 0.072,0.653 ± 0.066,0.556 ± 0.090,0.739 ± 0.053,0.457 ± 0.072,0.769 ± 0.054,0.565 ± 0.070,0.704 ± 0.069,0.415 ± 0.075,0.530 ± 0.075
9,0.752 ± 0.040,0.770 ± 0.023,0.878 ± 0.023,0.557 ± 0.046,0.646 ± 0.044,0.539 ± 0.072,0.679 ± 0.044,0.412 ± 0.032,0.718 ± 0.043,0.531 ± 0.037,0.635 ± 0.048,0.348 ± 0.033,0.467 ± 0.039
10,0.705 ± 0.061,0.733 ± 0.024,0.831 ± 0.023,0.569 ± 0.079,0.643 ± 0.068,0.510 ± 0.111,0.599 ± 0.071,0.392 ± 0.057,0.646 ± 0.068,0.490 ± 0.045,0.518 ± 0.079,0.265 ± 0.029,0.355 ± 0.005
