Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.964 ± 0.035,0.900 ± 0.024,0.968 ± 0.020,0.893 ± 0.056,0.916 ± 0.031,0.907 ± 0.033,0.961 ± 0.038,0.889 ± 0.057,0.958 ± 0.034,0.913 ± 0.032,0.955 ± 0.038,0.889 ± 0.057,0.913 ± 0.032
2,0.942 ± 0.032,0.863 ± 0.004,0.956 ± 0.014,0.788 ± 0.079,0.842 ± 0.049,0.817 ± 0.057,0.933 ± 0.037,0.776 ± 0.078,0.939 ± 0.034,0.833 ± 0.047,0.929 ± 0.040,0.774 ± 0.078,0.829 ± 0.043
3,0.930 ± 0.028,0.861 ± 0.013,0.940 ± 0.040,0.797 ± 0.028,0.842 ± 0.027,0.816 ± 0.030,0.919 ± 0.031,0.781 ± 0.028,0.924 ± 0.036,0.830 ± 0.031,0.913 ± 0.038,0.779 ± 0.028,0.827 ± 0.032
4,0.909 ± 0.038,0.841 ± 0.027,0.914 ± 0.034,0.774 ± 0.041,0.817 ± 0.035,0.782 ± 0.043,0.892 ± 0.041,0.752 ± 0.039,0.890 ± 0.042,0.798 ± 0.037,0.877 ± 0.046,0.747 ± 0.039,0.795 ± 0.038
5,0.884 ± 0.042,0.813 ± 0.052,0.900 ± 0.034,0.767 ± 0.033,0.806 ± 0.012,0.761 ± 0.020,0.859 ± 0.046,0.737 ± 0.025,0.867 ± 0.051,0.781 ± 0.011,0.842 ± 0.056,0.730 ± 0.024,0.771 ± 0.012
6,0.849 ± 0.058,0.805 ± 0.041,0.864 ± 0.050,0.711 ± 0.086,0.748 ± 0.077,0.684 ± 0.110,0.814 ± 0.063,0.661 ± 0.092,0.811 ± 0.072,0.703 ± 0.087,0.783 ± 0.081,0.637 ± 0.091,0.678 ± 0.091
7,0.817 ± 0.077,0.785 ± 0.038,0.848 ± 0.047,0.705 ± 0.042,0.742 ± 0.043,0.671 ± 0.054,0.769 ± 0.085,0.638 ± 0.052,0.776 ± 0.099,0.678 ± 0.067,0.724 ± 0.113,0.600 ± 0.070,0.642 ± 0.094
8,0.789 ± 0.085,0.754 ± 0.036,0.833 ± 0.066,0.678 ± 0.104,0.717 ± 0.097,0.622 ± 0.138,0.723 ± 0.099,0.587 ± 0.137,0.737 ± 0.117,0.633 ± 0.135,0.661 ± 0.141,0.529 ± 0.170,0.572 ± 0.167
9,0.759 ± 0.095,0.748 ± 0.035,0.827 ± 0.059,0.679 ± 0.085,0.716 ± 0.083,0.620 ± 0.115,0.681 ± 0.113,0.565 ± 0.139,0.704 ± 0.132,0.607 ± 0.144,0.608 ± 0.159,0.491 ± 0.190,0.532 ± 0.187
10,0.748 ± 0.107,0.739 ± 0.041,0.819 ± 0.054,0.671 ± 0.079,0.709 ± 0.078,0.605 ± 0.110,0.663 ± 0.125,0.544 ± 0.147,0.688 ± 0.145,0.586 ± 0.153,0.583 ± 0.172,0.462 ± 0.209,0.502 ± 0.201
