Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.401,0.084,0.324,0.56,0.028,0.369,0.529,0.862,0.887
A1-A3,0.583,0.172,0.462,0.65,0.065,0.44,0.595,0.812,0.911
A1-A4,0.492,0.1,0.417,0.623,0.025,0.405,0.589,0.875,0.879
