Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.992,0.982,0.996,0.928,0.953,0.952,0.992,0.927,0.992,0.953,0.992,0.927,0.953
2,0.97,0.913,0.984,0.763,0.832,0.816,0.967,0.756,0.969,0.826,0.966,0.755,0.826
3,0.956,0.876,0.959,0.826,0.865,0.846,0.95,0.818,0.954,0.859,0.947,0.817,0.858
4,0.897,0.845,0.843,0.839,0.809,0.774,0.878,0.82,0.824,0.787,0.821,0.816,0.782
5,0.835,0.802,0.758,0.638,0.631,0.541,0.795,0.567,0.711,0.559,0.696,0.544,0.536
6,0.818,0.787,0.676,0.51,0.498,0.362,0.768,0.401,0.604,0.385,0.578,0.362,0.346
7,0.783,0.753,0.804,0.599,0.53,0.375,0.711,0.487,0.73,0.399,0.641,0.436,0.339
8,0.752,0.691,0.874,0.856,0.729,0.608,0.641,0.711,0.716,0.64,0.589,0.581,0.508
9,0.72,0.631,0.789,0.779,0.353,0.0,0.557,0.641,0.646,0.102,0.439,0.432,0.0
10,0.672,0.577,0.735,0.937,0.0,0.0,0.433,0.65,0.554,0.0,0.228,0.395,0.0
