Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.558,0.165,0.424,0.665,0.069,0.466,0.631,0.847,0.909
A1-A3,0.682,0.287,0.574,0.764,0.175,0.6,0.736,0.866,0.883
A1-A4,0.781,0.416,0.687,0.828,0.274,0.68,0.783,0.933,0.947
