Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.405,0.138,0.36,0.57,0.072,0.405,0.528,0.75,0.871
A1-A4,0.693,0.317,0.611,0.753,0.18,0.6,0.728,0.908,0.911
A1-A3,0.652,0.263,0.553,0.723,0.137,0.53,0.689,0.906,0.909
