Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.49,0.129,0.403,0.617,0.047,0.426,0.56,0.848,0.857
A1-A4,0.529,0.148,0.426,0.627,0.053,0.447,0.608,0.63,0.769
A1-A3,0.624,0.244,0.565,0.693,0.118,0.572,0.673,0.871,0.949
