Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.47,0.093,0.365,0.614,0.042,0.401,0.572,0.854,0.878
A1-A4,0.638,0.249,0.473,0.719,0.127,0.515,0.679,0.816,0.9
A1-A3,0.718,0.33,0.576,0.763,0.186,0.604,0.737,0.845,0.901
