Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.371,0.076,0.324,0.519,0.028,0.364,0.484,0.753,0.816
A1-A3,0.622,0.204,0.532,0.691,0.093,0.516,0.654,0.798,0.863
A1-A4,0.593,0.231,0.462,0.637,0.104,0.463,0.59,0.822,0.832
