Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.505,0.104,0.37,0.648,0.037,0.412,0.616,0.854,0.856
A1-A3,0.741,0.429,0.658,0.812,0.32,0.72,0.803,0.964,0.974
A1-A4,0.559,0.207,0.472,0.65,0.101,0.471,0.62,0.843,0.856
