Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.47,0.098,0.382,0.607,0.024,0.371,0.539,0.706,0.811
A1-A3,0.625,0.252,0.567,0.711,0.128,0.586,0.689,0.786,0.796
A1-A4,0.722,0.403,0.644,0.798,0.273,0.693,0.782,0.893,0.896
