Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.322,0.064,0.3,0.533,0.027,0.358,0.498,0.74,0.75
A1-A3,0.68,0.28,0.537,0.718,0.149,0.555,0.697,0.818,0.86
A1-A4,0.646,0.237,0.51,0.695,0.101,0.477,0.647,0.655,0.744
