Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.322,0.059,0.274,0.499,0.02,0.302,0.476,0.406,0.585
A1-A3,0.588,0.169,0.448,0.656,0.07,0.486,0.634,0.67,0.887
A1-A4,0.636,0.224,0.5,0.683,0.101,0.51,0.666,0.703,0.795
