Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.513,0.135,0.406,0.611,0.045,0.422,0.566,0.801,0.861
A1-A3,0.675,0.273,0.565,0.732,0.128,0.558,0.695,0.835,0.867
A1-A4,0.579,0.158,0.448,0.671,0.051,0.428,0.625,0.649,0.738
