Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.31,0.061,0.286,0.506,0.025,0.314,0.47,0.871,0.882
A1-A3,0.543,0.169,0.442,0.656,0.08,0.45,0.623,0.91,0.925
A1-A4,0.459,0.108,0.348,0.567,0.044,0.363,0.533,0.544,0.593
