Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.36,0.065,0.313,0.526,0.021,0.345,0.501,0.333,0.496
A1-A3,0.663,0.245,0.558,0.732,0.109,0.586,0.709,0.74,0.827
A1-A4,0.727,0.357,0.614,0.781,0.232,0.648,0.764,0.877,0.904
