Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.457,0.119,0.371,0.582,0.039,0.421,0.553,0.805,0.856
A1-A4,0.418,0.15,0.395,0.634,0.087,0.472,0.599,0.862,0.872
A1-A3,0.679,0.265,0.574,0.733,0.135,0.586,0.7,0.97,0.97
