Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.552,0.18,0.465,0.677,0.078,0.501,0.646,0.932,0.95
A1-A4,0.692,0.367,0.603,0.784,0.227,0.662,0.759,0.803,0.892
A1-A3,0.746,0.445,0.748,0.814,0.305,0.709,0.797,0.947,0.954
