Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.468,0.117,0.39,0.638,0.045,0.473,0.586,0.912,0.912
A1-A4,0.612,0.247,0.549,0.746,0.15,0.592,0.699,0.872,0.933
A1-A3,0.684,0.225,0.562,0.771,0.101,0.592,0.742,0.961,0.961
