Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.867,0.859,0.985,0.93,0.913,0.93,0.93,0.878
2,0.752,0.737,0.969,0.861,0.828,0.861,0.861,0.831
3,0.675,0.654,0.956,0.808,0.763,0.808,0.808,0.734
4,0.601,0.577,0.921,0.752,0.696,0.752,0.752,0.667
5,0.545,0.518,0.905,0.706,0.64,0.706,0.706,0.595
6,0.494,0.465,0.887,0.663,0.589,0.663,0.663,0.469
7,0.458,0.431,0.871,0.63,0.56,0.63,0.63,0.399
8,0.422,0.393,0.854,0.595,0.517,0.595,0.595,0.323
9,0.395,0.368,0.843,0.567,0.493,0.567,0.567,0.283
10,0.368,0.343,0.83,0.538,0.468,0.538,0.538,0.171
