Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.878,0.878,0.894,0.94,0.94,0.94,0.94,0.944
2,0.833,0.833,0.857,0.918,0.917,0.918,0.918,0.892
3,0.78,0.78,0.816,0.892,0.891,0.892,0.892,0.809
4,0.702,0.702,0.752,0.854,0.851,0.854,0.854,0.738
5,0.522,0.522,0.629,0.761,0.757,0.761,0.761,0.499
6,0.459,0.459,0.586,0.727,0.723,0.727,0.727,0.229
7,0.394,0.394,0.542,0.691,0.686,0.691,0.691,0.173
8,0.271,0.271,0.458,0.617,0.61,0.617,0.617,0.0
9,0.134,0.134,0.356,0.5,0.49,0.5,0.5,0.0
10,0.035,0.035,0.256,0.379,0.366,0.379,0.379,0.0
