Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.949,0.949,0.95,0.975,0.975,0.975,0.975,0.936
2,0.807,0.807,0.842,0.903,0.902,0.903,0.903,0.791
3,0.663,0.663,0.738,0.832,0.829,0.832,0.832,0.675
4,0.548,0.548,0.657,0.772,0.769,0.772,0.772,0.584
5,0.444,0.444,0.587,0.713,0.709,0.713,0.713,0.534
6,0.388,0.388,0.546,0.681,0.677,0.681,0.681,0.442
7,0.243,0.243,0.448,0.591,0.584,0.591,0.591,0.244
8,0.184,0.184,0.405,0.549,0.541,0.549,0.549,0.0
9,0.062,0.062,0.294,0.425,0.414,0.425,0.425,0.0
10,0.015,0.015,0.208,0.315,0.302,0.315,0.315,0.0
