Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.959 ± 0.032,0.944 ± 0.041,0.953 ± 0.037,0.884 ± 0.060,0.910 ± 0.042,0.903 ± 0.045,0.956 ± 0.036,0.878 ± 0.063,0.948 ± 0.038,0.905 ± 0.044,0.945 ± 0.041,0.878 ± 0.063,0.905 ± 0.045
2,0.947 ± 0.023,0.924 ± 0.024,0.980 ± 0.012,0.863 ± 0.087,0.900 ± 0.060,0.891 ± 0.066,0.942 ± 0.026,0.857 ± 0.088,0.946 ± 0.024,0.894 ± 0.060,0.941 ± 0.027,0.856 ± 0.088,0.891 ± 0.059
3,0.935 ± 0.019,0.891 ± 0.022,0.953 ± 0.009,0.824 ± 0.082,0.859 ± 0.064,0.842 ± 0.068,0.927 ± 0.020,0.812 ± 0.088,0.932 ± 0.020,0.849 ± 0.069,0.924 ± 0.022,0.810 ± 0.089,0.844 ± 0.065
4,0.898 ± 0.024,0.834 ± 0.040,0.860 ± 0.028,0.735 ± 0.126,0.745 ± 0.083,0.695 ± 0.090,0.877 ± 0.035,0.707 ± 0.133,0.844 ± 0.035,0.717 ± 0.086,0.838 ± 0.038,0.700 ± 0.133,0.710 ± 0.085
5,0.873 ± 0.040,0.792 ± 0.047,0.848 ± 0.092,0.733 ± 0.090,0.745 ± 0.108,0.676 ± 0.138,0.839 ± 0.054,0.691 ± 0.117,0.814 ± 0.100,0.704 ± 0.137,0.793 ± 0.098,0.677 ± 0.126,0.690 ± 0.147
6,0.836 ± 0.068,0.778 ± 0.072,0.804 ± 0.128,0.688 ± 0.155,0.673 ± 0.158,0.575 ± 0.204,0.783 ± 0.106,0.621 ± 0.191,0.744 ± 0.151,0.602 ± 0.202,0.691 ± 0.170,0.567 ± 0.190,0.563 ± 0.218
7,0.817 ± 0.071,0.743 ± 0.073,0.797 ± 0.013,0.730 ± 0.139,0.639 ± 0.101,0.509 ± 0.145,0.747 ± 0.114,0.660 ± 0.189,0.734 ± 0.022,0.552 ± 0.149,0.654 ± 0.091,0.603 ± 0.223,0.502 ± 0.176
8,0.791 ± 0.082,0.681 ± 0.012,0.831 ± 0.064,0.839 ± 0.048,0.714 ± 0.067,0.580 ± 0.096,0.693 ± 0.122,0.722 ± 0.031,0.712 ± 0.017,0.630 ± 0.033,0.613 ± 0.086,0.624 ± 0.104,0.521 ± 0.042
9,0.751 ± 0.103,0.623 ± 0.022,0.777 ± 0.013,0.649 ± 0.254,0.203 ± 0.183,0.000 ± 0.000,0.596 ± 0.177,0.495 ± 0.209,0.650 ± 0.089,0.034 ± 0.059,0.475 ± 0.226,0.309 ± 0.124,0.000 ± 0.000
10,0.659 ± 0.039,0.602 ± 0.086,0.691 ± 0.243,0.946 ± 0.027,0.000 ± 0.000,0.000 ± 0.000,0.422 ± 0.140,0.639 ± 0.050,0.429 ± 0.312,0.000 ± 0.000,0.247 ± 0.256,0.386 ± 0.164,0.000 ± 0.000
