Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.991 ± 0.001,0.974 ± 0.016,0.980 ± 0.032,0.982 ± 0.016,0.977 ± 0.024,0.976 ± 0.025,0.991 ± 0.001,0.979 ± 0.011,0.974 ± 0.028,0.974 ± 0.020,0.974 ± 0.028,0.979 ± 0.011,0.974 ± 0.020
2,0.975 ± 0.016,0.932 ± 0.040,0.912 ± 0.002,0.964 ± 0.038,0.925 ± 0.020,0.919 ± 0.025,0.974 ± 0.017,0.949 ± 0.023,0.910 ± 0.003,0.923 ± 0.019,0.910 ± 0.003,0.948 ± 0.023,0.923 ± 0.019
3,0.959 ± 0.025,0.915 ± 0.028,0.843 ± 0.029,0.912 ± 0.034,0.852 ± 0.015,0.838 ± 0.018,0.956 ± 0.027,0.908 ± 0.037,0.837 ± 0.028,0.845 ± 0.019,0.836 ± 0.028,0.908 ± 0.038,0.844 ± 0.020
4,0.938 ± 0.020,0.865 ± 0.038,0.769 ± 0.059,0.834 ± 0.025,0.761 ± 0.046,0.722 ± 0.067,0.928 ± 0.022,0.823 ± 0.024,0.754 ± 0.061,0.746 ± 0.046,0.751 ± 0.062,0.821 ± 0.024,0.743 ± 0.047
5,0.913 ± 0.036,0.838 ± 0.041,0.707 ± 0.072,0.765 ± 0.018,0.683 ± 0.049,0.619 ± 0.078,0.897 ± 0.042,0.743 ± 0.024,0.679 ± 0.076,0.653 ± 0.053,0.673 ± 0.079,0.738 ± 0.026,0.646 ± 0.056
6,0.867 ± 0.051,0.793 ± 0.043,0.640 ± 0.065,0.752 ± 0.063,0.575 ± 0.068,0.460 ± 0.117,0.829 ± 0.073,0.711 ± 0.086,0.580 ± 0.099,0.506 ± 0.105,0.559 ± 0.116,0.696 ± 0.096,0.481 ± 0.126
7,0.836 ± 0.084,0.723 ± 0.063,0.551 ± 0.110,0.652 ± 0.065,0.348 ± 0.172,0.156 ± 0.217,0.765 ± 0.137,0.576 ± 0.112,0.451 ± 0.179,0.229 ± 0.245,0.384 ± 0.244,0.526 ± 0.158,0.204 ± 0.244
8,0.808 ± 0.084,0.638 ± 0.084,0.486 ± 0.064,0.717 ± 0.196,0.077 ± 0.072,0.000 ± 0.000,0.688 ± 0.152,0.599 ± 0.209,0.354 ± 0.145,0.014 ± 0.024,0.222 ± 0.242,0.477 ± 0.249,0.000 ± 0.000
9,0.720 ± 0.057,0.619 ± 0.052,0.443 ± 0.080,0.604 ± 0.060,0.000 ± 0.000,0.000 ± 0.000,0.539 ± 0.130,0.444 ± 0.126,0.217 ± 0.171,0.000 ± 0.000,0.091 ± 0.157,0.244 ± 0.247,0.000 ± 0.000
10,0.631 ± 0.146,0.542 ± 0.061,0.329 ± 0.063,0.938 ± 0.007,0.000 ± 0.000,0.000 ± 0.000,0.331 ± 0.300,0.607 ± 0.152,0.031 ± 0.039,0.000 ± 0.000,0.000 ± 0.000,0.308 ± 0.282,0.000 ± 0.000
