Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.974 ± 0.040,0.927 ± 0.048,0.958 ± 0.031,0.920 ± 0.011,0.927 ± 0.023,0.921 ± 0.028,0.971 ± 0.045,0.918 ± 0.015,0.955 ± 0.035,0.925 ± 0.026,0.952 ± 0.039,0.917 ± 0.016,0.924 ± 0.027
2,0.957 ± 0.065,0.907 ± 0.056,0.932 ± 0.047,0.813 ± 0.038,0.843 ± 0.047,0.824 ± 0.059,0.950 ± 0.077,0.804 ± 0.043,0.924 ± 0.057,0.834 ± 0.054,0.916 ± 0.069,0.802 ± 0.044,0.832 ± 0.056
3,0.951 ± 0.072,0.874 ± 0.063,0.884 ± 0.067,0.747 ± 0.067,0.773 ± 0.077,0.735 ± 0.104,0.940 ± 0.088,0.731 ± 0.084,0.874 ± 0.080,0.757 ± 0.094,0.872 ± 0.084,0.727 ± 0.089,0.753 ± 0.099
4,0.938 ± 0.068,0.832 ± 0.048,0.843 ± 0.053,0.697 ± 0.073,0.716 ± 0.076,0.655 ± 0.105,0.923 ± 0.088,0.675 ± 0.084,0.830 ± 0.066,0.695 ± 0.088,0.826 ± 0.072,0.668 ± 0.090,0.689 ± 0.094
5,0.910 ± 0.071,0.803 ± 0.036,0.825 ± 0.027,0.649 ± 0.088,0.648 ± 0.071,0.562 ± 0.088,0.885 ± 0.094,0.616 ± 0.075,0.806 ± 0.045,0.612 ± 0.079,0.797 ± 0.057,0.605 ± 0.073,0.600 ± 0.087
6,0.879 ± 0.077,0.745 ± 0.046,0.774 ± 0.077,0.577 ± 0.036,0.534 ± 0.082,0.368 ± 0.152,0.834 ± 0.113,0.515 ± 0.069,0.738 ± 0.109,0.462 ± 0.138,0.719 ± 0.130,0.485 ± 0.098,0.426 ± 0.174
7,0.847 ± 0.065,0.725 ± 0.047,0.785 ± 0.034,0.552 ± 0.049,0.434 ± 0.068,0.213 ± 0.142,0.784 ± 0.105,0.467 ± 0.077,0.743 ± 0.060,0.324 ± 0.130,0.698 ± 0.117,0.420 ± 0.105,0.261 ± 0.184
8,0.779 ± 0.108,0.675 ± 0.048,0.756 ± 0.065,0.460 ± 0.037,0.237 ± 0.145,0.053 ± 0.092,0.663 ± 0.191,0.293 ± 0.150,0.666 ± 0.150,0.101 ± 0.174,0.538 ± 0.304,0.214 ± 0.192,0.083 ± 0.144
9,0.698 ± 0.159,0.630 ± 0.096,0.664 ± 0.093,0.413 ± 0.041,0.000 ± 0.000,0.000 ± 0.000,0.486 ± 0.353,0.180 ± 0.174,0.474 ± 0.285,0.000 ± 0.000,0.354 ± 0.311,0.101 ± 0.161,0.000 ± 0.000
10,0.674 ± 0.150,0.542 ± 0.076,0.473 ± 0.262,0.847 ± 0.210,0.000 ± 0.000,0.000 ± 0.000,0.382 ± 0.352,0.566 ± 0.094,0.315 ± 0.290,0.000 ± 0.000,0.170 ± 0.147,0.286 ± 0.247,0.000 ± 0.000
