Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.971 ± 0.021,0.929 ± 0.051,0.939 ± 0.025,0.978 ± 0.009,0.950 ± 0.011,0.946 ± 0.015,0.969 ± 0.021,0.965 ± 0.016,0.936 ± 0.026,0.947 ± 0.011,0.936 ± 0.026,0.963 ± 0.016,0.946 ± 0.012
2,0.944 ± 0.038,0.908 ± 0.040,0.857 ± 0.047,0.909 ± 0.075,0.872 ± 0.050,0.858 ± 0.056,0.939 ± 0.041,0.901 ± 0.085,0.847 ± 0.056,0.862 ± 0.060,0.846 ± 0.057,0.900 ± 0.086,0.861 ± 0.061
3,0.909 ± 0.059,0.860 ± 0.020,0.817 ± 0.018,0.852 ± 0.097,0.798 ± 0.056,0.766 ± 0.062,0.895 ± 0.066,0.832 ± 0.122,0.798 ± 0.019,0.774 ± 0.079,0.793 ± 0.021,0.827 ± 0.124,0.770 ± 0.083
4,0.884 ± 0.093,0.837 ± 0.023,0.766 ± 0.047,0.830 ± 0.118,0.750 ± 0.049,0.701 ± 0.060,0.861 ± 0.113,0.796 ± 0.164,0.725 ± 0.019,0.710 ± 0.090,0.704 ± 0.033,0.787 ± 0.178,0.700 ± 0.103
5,0.840 ± 0.084,0.818 ± 0.004,0.714 ± 0.059,0.741 ± 0.061,0.672 ± 0.062,0.599 ± 0.078,0.804 ± 0.103,0.685 ± 0.099,0.657 ± 0.084,0.603 ± 0.103,0.632 ± 0.092,0.668 ± 0.111,0.583 ± 0.116
6,0.811 ± 0.066,0.739 ± 0.061,0.601 ± 0.095,0.693 ± 0.042,0.501 ± 0.096,0.317 ± 0.172,0.749 ± 0.071,0.618 ± 0.079,0.512 ± 0.082,0.387 ± 0.097,0.470 ± 0.083,0.585 ± 0.091,0.335 ± 0.107
7,0.732 ± 0.038,0.730 ± 0.073,0.593 ± 0.030,0.623 ± 0.020,0.413 ± 0.113,0.208 ± 0.198,0.628 ± 0.075,0.484 ± 0.007,0.442 ± 0.068,0.196 ± 0.166,0.340 ± 0.127,0.381 ± 0.080,0.139 ± 0.126
8,0.713 ± 0.043,0.654 ± 0.055,0.500 ± 0.066,0.552 ± 0.048,0.214 ± 0.202,0.043 ± 0.075,0.556 ± 0.103,0.371 ± 0.072,0.300 ± 0.053,0.054 ± 0.093,0.096 ± 0.092,0.174 ± 0.151,0.000 ± 0.000
9,0.674 ± 0.011,0.606 ± 0.043,0.523 ± 0.067,0.632 ± 0.027,0.034 ± 0.059,0.000 ± 0.000,0.460 ± 0.056,0.454 ± 0.032,0.293 ± 0.095,0.000 ± 0.000,0.047 ± 0.081,0.146 ± 0.051,0.000 ± 0.000
10,0.606 ± 0.046,0.559 ± 0.064,0.482 ± 0.093,0.825 ± 0.202,0.000 ± 0.000,0.000 ± 0.000,0.283 ± 0.171,0.497 ± 0.123,0.147 ± 0.117,0.000 ± 0.000,0.000 ± 0.000,0.116 ± 0.162,0.000 ± 0.000
