Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.990 ± 0.010,0.970 ± 0.026,0.976 ± 0.021,0.859 ± 0.088,0.908 ± 0.052,0.904 ± 0.056,0.990 ± 0.010,0.858 ± 0.090,0.976 ± 0.022,0.906 ± 0.053,0.976 ± 0.022,0.858 ± 0.090,0.906 ± 0.053
2,0.956 ± 0.042,0.949 ± 0.030,0.958 ± 0.030,0.851 ± 0.052,0.878 ± 0.054,0.870 ± 0.061,0.953 ± 0.046,0.844 ± 0.060,0.950 ± 0.041,0.871 ± 0.062,0.947 ± 0.045,0.843 ± 0.062,0.871 ± 0.063
3,0.909 ± 0.014,0.901 ± 0.011,0.925 ± 0.004,0.727 ± 0.054,0.770 ± 0.047,0.744 ± 0.055,0.899 ± 0.017,0.700 ± 0.064,0.901 ± 0.016,0.746 ± 0.056,0.891 ± 0.019,0.696 ± 0.066,0.743 ± 0.058
4,0.903 ± 0.021,0.871 ± 0.015,0.881 ± 0.002,0.672 ± 0.025,0.706 ± 0.025,0.663 ± 0.035,0.889 ± 0.025,0.637 ± 0.035,0.867 ± 0.005,0.674 ± 0.035,0.861 ± 0.012,0.631 ± 0.038,0.669 ± 0.038
5,0.881 ± 0.027,0.843 ± 0.016,0.865 ± 0.013,0.632 ± 0.023,0.666 ± 0.030,0.604 ± 0.042,0.859 ± 0.034,0.582 ± 0.037,0.846 ± 0.020,0.621 ± 0.045,0.832 ± 0.037,0.571 ± 0.043,0.611 ± 0.050
6,0.867 ± 0.012,0.786 ± 0.053,0.814 ± 0.009,0.641 ± 0.059,0.603 ± 0.018,0.493 ± 0.056,0.831 ± 0.004,0.585 ± 0.074,0.785 ± 0.007,0.542 ± 0.014,0.776 ± 0.009,0.568 ± 0.073,0.522 ± 0.018
7,0.827 ± 0.024,0.768 ± 0.062,0.814 ± 0.028,0.601 ± 0.030,0.405 ± 0.098,0.217 ± 0.190,0.776 ± 0.013,0.518 ± 0.052,0.764 ± 0.011,0.282 ± 0.096,0.724 ± 0.007,0.486 ± 0.049,0.233 ± 0.112
8,0.818 ± 0.025,0.701 ± 0.030,0.777 ± 0.042,0.514 ± 0.063,0.216 ± 0.306,0.107 ± 0.152,0.741 ± 0.025,0.406 ± 0.059,0.726 ± 0.039,0.146 ± 0.206,0.662 ± 0.007,0.345 ± 0.062,0.108 ± 0.153
9,0.799 ± 0.047,0.661 ± 0.083,0.767 ± 0.042,0.706 ± 0.416,0.000 ± 0.000,0.000 ± 0.000,0.698 ± 0.032,0.531 ± 0.425,0.696 ± 0.016,0.000 ± 0.000,0.607 ± 0.020,0.423 ± 0.419,0.000 ± 0.000
10,0.722 ± 0.054,0.590 ± 0.062,0.768 ± 0.045,0.935 ± 0.055,0.000 ± 0.000,0.000 ± 0.000,0.530 ± 0.044,0.703 ± 0.041,0.629 ± 0.036,0.000 ± 0.000,0.389 ± 0.021,0.498 ± 0.017,0.000 ± 0.000
