Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.949 ± 0.066,0.977 ± 0.001,0.980 ± 0.013,0.968 ± 0.002,0.967 ± 0.006,0.966 ± 0.006,0.948 ± 0.067,0.932 ± 0.047,0.944 ± 0.064,0.934 ± 0.052,0.943 ± 0.065,0.931 ± 0.049,0.933 ± 0.053
2,0.942 ± 0.057,0.937 ± 0.013,0.883 ± 0.068,0.935 ± 0.042,0.887 ± 0.068,0.879 ± 0.074,0.937 ± 0.062,0.927 ± 0.052,0.873 ± 0.080,0.877 ± 0.078,0.873 ± 0.081,0.923 ± 0.058,0.877 ± 0.080
3,0.916 ± 0.054,0.911 ± 0.000,0.814 ± 0.095,0.908 ± 0.052,0.826 ± 0.091,0.808 ± 0.100,0.908 ± 0.059,0.898 ± 0.064,0.793 ± 0.116,0.806 ± 0.112,0.791 ± 0.119,0.894 ± 0.069,0.803 ± 0.114
4,0.907 ± 0.042,0.876 ± 0.003,0.720 ± 0.048,0.832 ± 0.018,0.717 ± 0.020,0.677 ± 0.022,0.894 ± 0.048,0.815 ± 0.011,0.690 ± 0.067,0.688 ± 0.037,0.684 ± 0.071,0.812 ± 0.010,0.682 ± 0.040
5,0.838 ± 0.077,0.843 ± 0.017,0.647 ± 0.033,0.780 ± 0.016,0.637 ± 0.022,0.569 ± 0.035,0.808 ± 0.087,0.735 ± 0.044,0.578 ± 0.001,0.566 ± 0.013,0.562 ± 0.006,0.715 ± 0.064,0.549 ± 0.022
6,0.809 ± 0.037,0.788 ± 0.001,0.611 ± 0.066,0.717 ± 0.020,0.524 ± 0.012,0.396 ± 0.016,0.758 ± 0.047,0.651 ± 0.008,0.521 ± 0.059,0.411 ± 0.042,0.489 ± 0.054,0.624 ± 0.001,0.371 ± 0.055
7,0.742 ± 0.006,0.774 ± 0.027,0.542 ± 0.021,0.673 ± 0.011,0.353 ± 0.055,0.163 ± 0.100,0.667 ± 0.021,0.560 ± 0.018,0.383 ± 0.035,0.128 ± 0.082,0.313 ± 0.054,0.505 ± 0.038,0.054 ± 0.076
8,0.722 ± 0.018,0.736 ± 0.035,0.568 ± 0.032,0.616 ± 0.038,0.216 ± 0.087,0.000 ± 0.000,0.621 ± 0.043,0.467 ± 0.066,0.400 ± 0.059,0.000 ± 0.000,0.301 ± 0.099,0.378 ± 0.105,0.000 ± 0.000
9,0.702 ± 0.006,0.668 ± 0.038,0.593 ± 0.040,0.580 ± 0.195,0.080 ± 0.112,0.000 ± 0.000,0.553 ± 0.017,0.394 ± 0.262,0.420 ± 0.052,0.000 ± 0.000,0.243 ± 0.078,0.197 ± 0.279,0.000 ± 0.000
10,0.685 ± 0.010,0.550 ± 0.034,0.262 ± 0.371,0.778 ± 0.315,0.000 ± 0.000,0.000 ± 0.000,0.427 ± 0.018,0.518 ± 0.246,0.149 ± 0.211,0.000 ± 0.000,0.000 ± 0.000,0.207 ± 0.293,0.000 ± 0.000
