Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.974 ± 0.008,0.978 ± 0.001,0.964 ± 0.018,0.968 ± 0.002,0.958 ± 0.009,0.957 ± 0.010,0.974 ± 0.008,0.966 ± 0.002,0.963 ± 0.020,0.956 ± 0.011,0.963 ± 0.020,0.966 ± 0.001,0.956 ± 0.011
2,0.965 ± 0.003,0.940 ± 0.024,0.909 ± 0.013,0.949 ± 0.023,0.911 ± 0.021,0.905 ± 0.025,0.963 ± 0.004,0.947 ± 0.025,0.905 ± 0.015,0.909 ± 0.022,0.905 ± 0.014,0.947 ± 0.025,0.908 ± 0.023
3,0.960 ± 0.001,0.926 ± 0.019,0.815 ± 0.032,0.875 ± 0.008,0.807 ± 0.023,0.792 ± 0.021,0.957 ± 0.000,0.870 ± 0.008,0.807 ± 0.034,0.799 ± 0.024,0.806 ± 0.033,0.869 ± 0.008,0.798 ± 0.023
4,0.952 ± 0.007,0.891 ± 0.000,0.782 ± 0.033,0.806 ± 0.018,0.746 ± 0.028,0.714 ± 0.030,0.946 ± 0.008,0.796 ± 0.021,0.770 ± 0.036,0.732 ± 0.030,0.770 ± 0.036,0.796 ± 0.021,0.731 ± 0.031
5,0.947 ± 0.004,0.843 ± 0.018,0.714 ± 0.062,0.770 ± 0.076,0.680 ± 0.079,0.622 ± 0.086,0.937 ± 0.007,0.757 ± 0.079,0.698 ± 0.064,0.662 ± 0.083,0.694 ± 0.064,0.755 ± 0.079,0.659 ± 0.082
6,0.884 ± 0.086,0.819 ± 0.017,0.688 ± 0.001,0.745 ± 0.094,0.591 ± 0.127,0.502 ± 0.144,0.857 ± 0.109,0.715 ± 0.079,0.645 ± 0.035,0.542 ± 0.099,0.633 ± 0.046,0.692 ± 0.052,0.527 ± 0.088
7,0.840 ± 0.093,0.742 ± 0.032,0.613 ± 0.001,0.684 ± 0.066,0.504 ± 0.040,0.332 ± 0.024,0.781 ± 0.134,0.617 ± 0.122,0.537 ± 0.049,0.408 ± 0.018,0.498 ± 0.085,0.581 ± 0.158,0.360 ± 0.059
8,0.772 ± 0.040,0.696 ± 0.035,0.601 ± 0.028,0.707 ± 0.168,0.333 ± 0.037,0.056 ± 0.078,0.670 ± 0.074,0.603 ± 0.221,0.481 ± 0.064,0.134 ± 0.093,0.399 ± 0.109,0.499 ± 0.235,0.057 ± 0.081
9,0.728 ± 0.064,0.650 ± 0.045,0.464 ± 0.170,0.756 ± 0.127,0.000 ± 0.000,0.000 ± 0.000,0.577 ± 0.127,0.621 ± 0.155,0.252 ± 0.299,0.000 ± 0.000,0.189 ± 0.267,0.418 ± 0.265,0.000 ± 0.000
10,0.638 ± 0.083,0.621 ± 0.033,0.534 ± 0.069,0.977 ± 0.033,0.000 ± 0.000,0.000 ± 0.000,0.413 ± 0.165,0.629 ± 0.097,0.258 ± 0.204,0.000 ± 0.000,0.097 ± 0.137,0.397 ± 0.188,0.000 ± 0.000
