Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.991 ± 0.011,0.953 ± 0.001,0.941 ± 0.029,0.836 ± 0.055,0.873 ± 0.002,0.867 ± 0.002,0.991 ± 0.011,0.834 ± 0.057,0.940 ± 0.028,0.871 ± 0.004,0.940 ± 0.028,0.834 ± 0.057,0.871 ± 0.004
2,0.976 ± 0.019,0.941 ± 0.016,0.942 ± 0.028,0.825 ± 0.062,0.852 ± 0.056,0.842 ± 0.062,0.974 ± 0.021,0.822 ± 0.060,0.941 ± 0.027,0.849 ± 0.054,0.941 ± 0.026,0.821 ± 0.059,0.848 ± 0.054
3,0.956 ± 0.010,0.904 ± 0.001,0.871 ± 0.004,0.760 ± 0.033,0.767 ± 0.017,0.742 ± 0.020,0.952 ± 0.011,0.750 ± 0.032,0.865 ± 0.005,0.756 ± 0.016,0.863 ± 0.005,0.748 ± 0.032,0.755 ± 0.016
4,0.954 ± 0.009,0.903 ± 0.021,0.847 ± 0.018,0.781 ± 0.111,0.766 ± 0.061,0.740 ± 0.073,0.948 ± 0.009,0.771 ± 0.115,0.839 ± 0.021,0.755 ± 0.061,0.839 ± 0.021,0.770 ± 0.115,0.754 ± 0.062
5,0.933 ± 0.017,0.859 ± 0.007,0.832 ± 0.053,0.679 ± 0.052,0.688 ± 0.070,0.636 ± 0.085,0.921 ± 0.021,0.655 ± 0.062,0.819 ± 0.061,0.664 ± 0.081,0.817 ± 0.062,0.651 ± 0.064,0.660 ± 0.083
6,0.913 ± 0.009,0.810 ± 0.008,0.802 ± 0.144,0.776 ± 0.110,0.717 ± 0.130,0.651 ± 0.157,0.892 ± 0.010,0.754 ± 0.122,0.783 ± 0.160,0.689 ± 0.146,0.775 ± 0.160,0.749 ± 0.126,0.681 ± 0.149
7,0.898 ± 0.020,0.786 ± 0.033,0.827 ± 0.049,0.782 ± 0.009,0.683 ± 0.033,0.596 ± 0.057,0.871 ± 0.021,0.758 ± 0.005,0.807 ± 0.050,0.647 ± 0.028,0.799 ± 0.048,0.750 ± 0.004,0.637 ± 0.029
8,0.891 ± 0.016,0.748 ± 0.041,0.801 ± 0.095,0.781 ± 0.093,0.585 ± 0.079,0.442 ± 0.136,0.855 ± 0.012,0.754 ± 0.107,0.777 ± 0.103,0.535 ± 0.081,0.757 ± 0.093,0.743 ± 0.112,0.515 ± 0.086
9,0.827 ± 0.045,0.672 ± 0.025,0.693 ± 0.062,0.865 ± 0.047,0.275 ± 0.252,0.104 ± 0.147,0.740 ± 0.076,0.788 ± 0.023,0.625 ± 0.095,0.181 ± 0.257,0.578 ± 0.127,0.702 ± 0.071,0.155 ± 0.220
10,0.659 ± 0.161,0.603 ± 0.030,0.713 ± 0.124,0.939 ± 0.049,0.000 ± 0.000,0.000 ± 0.000,0.427 ± 0.295,0.632 ± 0.191,0.494 ± 0.314,0.000 ± 0.000,0.273 ± 0.386,0.382 ± 0.347,0.000 ± 0.000
