Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.907,0.901,0.988,0.953,0.941,0.953,0.953,0.947
2,0.827,0.816,0.975,0.905,0.883,0.905,0.905,0.8
3,0.753,0.738,0.965,0.86,0.829,0.86,0.86,0.747
4,0.693,0.675,0.931,0.821,0.781,0.821,0.821,0.748
5,0.636,0.619,0.91,0.781,0.743,0.781,0.781,0.646
6,0.595,0.58,0.872,0.75,0.713,0.75,0.75,0.601
7,0.558,0.544,0.861,0.719,0.683,0.719,0.719,0.668
8,0.527,0.51,0.853,0.691,0.649,0.691,0.691,0.606
9,0.497,0.478,0.844,0.666,0.617,0.666,0.666,0.51
10,0.47,0.452,0.829,0.641,0.594,0.641,0.641,0.351
