Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883,0.882,0.987,0.939,0.938,0.939,0.939,0.845
2,0.801,0.795,0.924,0.892,0.879,0.892,0.892,0.914
3,0.72,0.709,0.903,0.838,0.815,0.838,0.838,0.884
4,0.663,0.648,0.887,0.798,0.764,0.798,0.798,0.782
5,0.612,0.599,0.865,0.759,0.726,0.759,0.759,0.715
6,0.564,0.547,0.853,0.72,0.679,0.72,0.72,0.611
7,0.526,0.506,0.842,0.688,0.64,0.688,0.688,0.578
8,0.492,0.474,0.832,0.659,0.613,0.659,0.659,0.457
9,0.462,0.445,0.814,0.632,0.588,0.632,0.632,0.435
10,0.434,0.418,0.802,0.605,0.562,0.605,0.605,0.361
