Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.884,1.0,0.988,0.889,1.0,0.807,0.879
3,1.0,0.994,0.801,1.0,0.988,0.791,1.0,0.668,0.668
4,1.0,0.994,0.71,1.0,0.988,0.644,1.0,0.547,0.547
5,1.0,0.994,0.714,1.0,0.988,0.545,1.0,0.457,0.457
6,1.0,0.994,0.698,1.0,0.988,0.542,1.0,0.422,0.422
7,1.0,0.994,0.744,1.0,0.988,0.601,1.0,0.354,0.354
8,1.0,0.994,0.791,1.0,0.988,0.656,1.0,0.459,0.459
9,1.0,0.994,0.779,1.0,0.988,0.763,1.0,0.547,0.547
10,1.0,0.994,0.838,1.0,0.988,0.846,1.0,0.671,0.671
11,1.0,0.994,0.877,1.0,0.988,0.901,1.0,0.808,0.879
12,1.0,0.994,0.961,1.0,0.988,0.933,1.0,0.933,0.933
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
