Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.992,0.918,1.0,0.984,0.941,1.0,0.865,0.912
3,1.0,0.992,0.89,1.0,0.984,0.914,1.0,0.721,0.74
4,1.0,0.992,0.857,1.0,0.984,0.791,1.0,0.479,0.492
5,1.0,0.992,0.814,1.0,0.984,0.684,1.0,0.516,0.516
6,1.0,0.992,0.822,1.0,0.984,0.556,1.0,0.375,0.375
7,1.0,0.992,0.822,1.0,0.984,0.508,1.0,0.331,0.331
8,1.0,0.992,0.803,1.0,0.984,0.561,1.0,0.371,0.371
9,1.0,0.992,0.807,1.0,0.984,0.684,1.0,0.531,0.538
10,1.0,0.992,0.854,1.0,0.984,0.733,1.0,0.594,0.594
11,1.0,0.992,0.847,1.0,0.984,0.802,1.0,0.728,0.745
12,1.0,0.992,0.857,1.0,0.984,0.872,1.0,0.861,0.912
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
