Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.943,1.0,0.989,0.959,1.0,0.792,0.873
3,1.0,0.994,0.943,1.0,0.989,0.955,1.0,0.725,0.725
4,1.0,0.994,0.835,1.0,0.989,0.802,1.0,0.56,0.56
5,1.0,0.994,0.785,1.0,0.989,0.754,1.0,0.523,0.523
6,1.0,0.994,0.776,1.0,0.989,0.634,1.0,0.454,0.454
7,1.0,0.994,0.763,1.0,0.989,0.593,1.0,0.434,0.434
8,1.0,0.994,0.779,1.0,0.989,0.515,1.0,0.452,0.452
9,1.0,0.994,0.773,1.0,0.989,0.549,1.0,0.521,0.521
10,1.0,0.994,0.767,1.0,0.989,0.631,1.0,0.614,0.614
11,1.0,0.994,0.791,1.0,0.989,0.716,1.0,0.723,0.723
12,1.0,0.994,0.833,1.0,0.989,0.866,1.0,0.839,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
