Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.989,0.911,1.0,0.978,0.908,1.0,0.854,0.903
3,1.0,0.989,0.884,1.0,0.978,0.872,1.0,0.746,0.746
4,1.0,0.989,0.888,1.0,0.978,0.83,1.0,0.551,0.551
5,1.0,0.989,0.814,1.0,0.978,0.645,1.0,0.397,0.397
6,1.0,0.989,0.814,1.0,0.978,0.596,1.0,0.441,0.441
7,1.0,0.989,0.843,1.0,0.978,0.532,1.0,0.442,0.442
8,1.0,0.989,0.838,1.0,0.978,0.525,1.0,0.378,0.378
9,1.0,0.989,0.829,1.0,0.978,0.638,1.0,0.549,0.549
10,1.0,0.989,0.847,1.0,0.978,0.702,1.0,0.642,0.642
11,1.0,0.989,0.856,1.0,0.978,0.759,1.0,0.734,0.785
12,1.0,0.989,0.908,1.0,0.978,0.851,1.0,0.852,0.907
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
