Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.954,1.0,0.985,0.874,1.0,0.853,0.907
3,1.0,0.993,0.855,1.0,0.985,0.831,1.0,0.707,0.732
4,1.0,0.993,0.819,1.0,0.985,0.783,1.0,0.611,0.611
5,1.0,0.993,0.812,1.0,0.985,0.715,1.0,0.431,0.431
6,1.0,0.993,0.782,1.0,0.985,0.618,1.0,0.386,0.386
7,1.0,0.993,0.782,1.0,0.985,0.57,1.0,0.322,0.322
8,1.0,0.993,0.79,1.0,0.985,0.522,1.0,0.444,0.444
9,1.0,0.993,0.778,1.0,0.985,0.527,1.0,0.48,0.48
10,1.0,0.993,0.762,1.0,0.985,0.618,1.0,0.513,0.513
11,1.0,0.993,0.77,1.0,0.985,0.729,1.0,0.726,0.77
12,1.0,0.993,0.914,1.0,0.985,0.841,1.0,0.869,0.902
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
