Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.871,1.0,0.988,0.852,1.0,0.825,0.89
3,1.0,0.994,0.835,1.0,0.988,0.7,1.0,0.7,0.7
4,1.0,0.994,0.832,1.0,0.988,0.643,1.0,0.582,0.582
5,1.0,0.994,0.832,1.0,0.988,0.555,1.0,0.488,0.488
6,1.0,0.994,0.796,1.0,0.988,0.548,1.0,0.438,0.438
7,1.0,0.994,0.796,1.0,0.988,0.57,1.0,0.438,0.438
8,1.0,0.994,0.819,1.0,0.988,0.627,1.0,0.488,0.488
9,1.0,0.994,0.848,1.0,0.988,0.726,1.0,0.486,0.486
10,1.0,0.994,0.848,1.0,0.988,0.749,1.0,0.58,0.58
11,1.0,0.994,0.871,1.0,0.988,0.867,1.0,0.699,0.699
12,1.0,0.994,0.953,1.0,0.988,0.92,1.0,0.826,0.89
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
