Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.988,1.0,0.988,0.943,1.0,0.824,0.889
3,1.0,0.994,0.961,1.0,0.988,0.87,1.0,0.612,0.612
4,1.0,0.994,0.886,1.0,0.988,0.847,1.0,0.612,0.612
5,1.0,0.994,0.812,1.0,0.988,0.782,1.0,0.447,0.461
6,1.0,0.994,0.769,1.0,0.988,0.701,1.0,0.366,0.366
7,1.0,0.994,0.779,1.0,0.988,0.563,1.0,0.302,0.302
8,1.0,0.994,0.791,1.0,0.988,0.556,1.0,0.316,0.316
9,1.0,0.994,0.782,1.0,0.988,0.659,1.0,0.483,0.483
10,1.0,0.994,0.812,1.0,0.988,0.709,1.0,0.572,0.572
11,1.0,0.994,0.837,1.0,0.988,0.797,1.0,0.635,0.658
12,1.0,0.994,0.92,1.0,0.988,0.912,1.0,0.822,0.891
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
