Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.844,1.0,0.987,0.897,1.0,0.84,0.899
3,1.0,0.993,0.814,1.0,0.987,0.778,1.0,0.725,0.725
4,1.0,0.993,0.784,1.0,0.987,0.654,1.0,0.615,0.615
5,1.0,0.993,0.755,1.0,0.987,0.573,1.0,0.523,0.523
6,1.0,0.993,0.773,1.0,0.987,0.526,1.0,0.456,0.456
7,1.0,0.993,0.798,1.0,0.987,0.632,1.0,0.436,0.436
8,1.0,0.993,0.794,1.0,0.987,0.671,1.0,0.458,0.458
9,1.0,0.993,0.801,1.0,0.987,0.718,1.0,0.522,0.522
10,1.0,0.993,0.889,1.0,0.987,0.795,1.0,0.615,0.615
11,1.0,0.993,0.919,1.0,0.987,0.88,1.0,0.725,0.725
12,1.0,0.993,0.969,1.0,0.987,0.94,1.0,0.84,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
