Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.983,0.982,1.0,0.973,0.974,1.0,0.853,0.908
3,1.0,0.979,0.966,1.0,0.959,0.908,1.0,0.746,0.746
4,1.0,0.979,0.914,1.0,0.959,0.803,1.0,0.64,0.64
5,1.0,0.979,0.924,1.0,0.959,0.697,1.0,0.546,0.546
6,1.0,0.979,0.884,1.0,0.959,0.592,1.0,0.474,0.474
7,1.0,0.979,0.878,1.0,0.959,0.553,1.0,0.289,0.289
8,1.0,0.979,0.857,1.0,0.959,0.605,1.0,0.473,0.473
9,1.0,0.979,0.884,1.0,0.959,0.671,1.0,0.543,0.543
10,1.0,0.979,0.908,1.0,0.959,0.724,1.0,0.574,0.574
11,1.0,0.979,0.924,1.0,0.959,0.789,1.0,0.741,0.741
12,1.0,0.979,0.949,1.0,0.959,0.908,1.0,0.853,0.907
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
