Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.888,1.0,0.987,0.889,1.0,0.825,0.89
3,1.0,0.994,0.869,1.0,0.987,0.809,1.0,0.722,0.803
4,1.0,0.994,0.803,1.0,0.987,0.745,1.0,0.619,0.619
5,1.0,0.994,0.761,1.0,0.987,0.664,1.0,0.577,0.577
6,1.0,0.994,0.78,1.0,0.987,0.532,1.0,0.376,0.376
7,1.0,0.994,0.776,1.0,0.987,0.532,1.0,0.436,0.436
8,1.0,0.994,0.727,1.0,0.987,0.587,1.0,0.436,0.436
9,1.0,0.994,0.746,1.0,0.987,0.668,1.0,0.402,0.402
10,1.0,0.994,0.806,1.0,0.987,0.745,1.0,0.583,0.583
11,1.0,0.994,0.81,1.0,0.987,0.783,1.0,0.699,0.699
12,1.0,0.994,0.903,1.0,0.987,0.877,1.0,0.824,0.889
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
