Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.902,1.0,0.987,0.912,1.0,0.84,0.899
3,1.0,0.993,0.835,1.0,0.987,0.828,1.0,0.723,0.723
4,1.0,0.993,0.804,1.0,0.987,0.775,1.0,0.615,0.615
5,1.0,0.993,0.79,1.0,0.987,0.687,1.0,0.52,0.52
6,1.0,0.993,0.768,1.0,0.987,0.617,1.0,0.456,0.456
7,1.0,0.993,0.764,1.0,0.987,0.551,1.0,0.431,0.431
8,1.0,0.993,0.757,1.0,0.987,0.542,1.0,0.456,0.456
9,1.0,0.993,0.853,1.0,0.987,0.683,1.0,0.426,0.448
10,1.0,0.993,0.864,1.0,0.987,0.753,1.0,0.611,0.611
11,1.0,0.993,0.886,1.0,0.987,0.811,1.0,0.725,0.725
12,1.0,0.993,0.923,1.0,0.987,0.89,1.0,0.839,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
