Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.995,0.846,1.0,0.991,0.872,1.0,0.84,0.899
3,1.0,0.995,0.81,1.0,0.991,0.813,1.0,0.726,0.726
4,1.0,0.995,0.803,1.0,0.991,0.745,1.0,0.616,0.616
5,1.0,0.995,0.801,1.0,0.991,0.685,1.0,0.522,0.522
6,1.0,0.995,0.791,1.0,0.991,0.632,1.0,0.458,0.458
7,1.0,0.995,0.786,1.0,0.991,0.539,1.0,0.436,0.436
8,1.0,0.995,0.815,1.0,0.991,0.548,1.0,0.459,0.459
9,1.0,0.995,0.803,1.0,0.991,0.626,1.0,0.522,0.522
10,1.0,0.995,0.833,1.0,0.991,0.766,1.0,0.614,0.614
11,1.0,0.995,0.88,1.0,0.991,0.872,1.0,0.724,0.724
12,1.0,0.995,0.948,1.0,0.991,0.931,1.0,0.84,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
