Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.946,1.0,0.988,0.914,1.0,0.864,0.903
3,1.0,0.994,0.856,1.0,0.988,0.803,1.0,0.723,0.723
4,1.0,0.994,0.817,1.0,0.988,0.73,1.0,0.614,0.614
5,1.0,0.994,0.82,1.0,0.988,0.639,1.0,0.516,0.516
6,1.0,0.994,0.835,1.0,0.988,0.561,1.0,0.459,0.459
7,1.0,0.994,0.843,1.0,0.988,0.5,1.0,0.433,0.433
8,1.0,0.994,0.843,1.0,0.988,0.57,1.0,0.456,0.456
9,1.0,0.994,0.835,1.0,0.988,0.631,1.0,0.519,0.519
10,1.0,0.994,0.859,1.0,0.988,0.734,1.0,0.614,0.614
11,1.0,0.994,0.935,1.0,0.988,0.861,1.0,0.723,0.723
12,1.0,0.994,0.962,1.0,0.988,0.922,1.0,0.84,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
