Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.992,0.878,1.0,0.984,0.888,1.0,0.841,0.9
3,1.0,0.992,0.793,1.0,0.984,0.781,1.0,0.725,0.725
4,1.0,0.992,0.809,1.0,0.984,0.724,1.0,0.614,0.614
5,1.0,0.992,0.793,1.0,0.984,0.602,1.0,0.522,0.522
6,1.0,0.992,0.781,1.0,0.984,0.561,1.0,0.457,0.457
7,1.0,0.992,0.768,1.0,0.984,0.536,1.0,0.433,0.433
8,1.0,0.992,0.768,1.0,0.984,0.526,1.0,0.452,0.452
9,1.0,0.992,0.789,1.0,0.984,0.607,1.0,0.515,0.515
10,1.0,0.992,0.797,1.0,0.984,0.668,1.0,0.612,0.612
11,1.0,0.992,0.801,1.0,0.984,0.781,1.0,0.724,0.724
12,1.0,0.992,0.841,1.0,0.984,0.898,1.0,0.839,0.898
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
