Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.954,1.0,0.989,0.878,1.0,0.783,0.858
3,1.0,0.994,0.895,1.0,0.989,0.779,1.0,0.65,0.65
4,1.0,0.994,0.888,1.0,0.989,0.668,1.0,0.614,0.614
5,1.0,0.994,0.846,1.0,0.989,0.598,1.0,0.521,0.521
6,1.0,0.994,0.81,1.0,0.989,0.539,1.0,0.455,0.455
7,1.0,0.994,0.801,1.0,0.989,0.502,1.0,0.432,0.432
8,1.0,0.994,0.815,1.0,0.989,0.59,1.0,0.343,0.343
9,1.0,0.994,0.826,1.0,0.989,0.657,1.0,0.427,0.427
10,1.0,0.994,0.81,1.0,0.989,0.731,1.0,0.614,0.614
11,1.0,0.994,0.818,1.0,0.989,0.779,1.0,0.687,0.696
12,1.0,0.994,0.911,1.0,0.989,0.841,1.0,0.87,0.903
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
