Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.989,0.908,1.0,0.978,0.894,1.0,0.807,0.878
3,1.0,0.989,0.838,1.0,0.978,0.773,1.0,0.668,0.668
4,1.0,0.989,0.782,1.0,0.978,0.652,1.0,0.448,0.448
5,1.0,0.989,0.771,1.0,0.978,0.624,1.0,0.434,0.434
6,1.0,0.989,0.771,1.0,0.978,0.56,1.0,0.452,0.452
7,1.0,0.989,0.782,1.0,0.978,0.546,1.0,0.389,0.396
8,1.0,0.989,0.776,1.0,0.978,0.603,1.0,0.347,0.347
9,1.0,0.989,0.829,1.0,0.978,0.681,1.0,0.541,0.541
10,1.0,0.989,0.902,1.0,0.978,0.78,1.0,0.669,0.669
11,1.0,0.989,0.905,1.0,0.978,0.809,1.0,0.667,0.667
12,1.0,0.989,0.941,1.0,0.978,0.901,1.0,0.806,0.878
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
