Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.902,1.0,0.986,0.927,1.0,0.854,0.908
3,1.0,0.993,0.779,1.0,0.986,0.831,1.0,0.705,0.73
4,1.0,0.993,0.747,1.0,0.986,0.717,1.0,0.642,0.642
5,1.0,0.993,0.771,1.0,0.986,0.662,1.0,0.43,0.43
6,1.0,0.993,0.739,1.0,0.986,0.543,1.0,0.328,0.328
7,1.0,0.993,0.739,1.0,0.986,0.543,1.0,0.318,0.318
8,1.0,0.993,0.755,1.0,0.986,0.63,1.0,0.372,0.372
9,1.0,0.993,0.759,1.0,0.986,0.708,1.0,0.468,0.468
10,1.0,0.993,0.818,1.0,0.986,0.795,1.0,0.59,0.59
11,1.0,0.993,0.855,1.0,0.986,0.849,1.0,0.731,0.779
12,1.0,0.993,0.93,1.0,0.986,0.918,1.0,0.874,0.903
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
