Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.977,1.0,0.986,0.921,1.0,0.84,0.899
3,1.0,0.993,0.876,1.0,0.986,0.841,1.0,0.724,0.724
4,1.0,0.993,0.862,1.0,0.986,0.799,1.0,0.56,0.56
5,1.0,0.993,0.854,1.0,0.986,0.729,1.0,0.518,0.518
6,1.0,0.993,0.848,1.0,0.986,0.664,1.0,0.466,0.486
7,1.0,0.993,0.798,1.0,0.986,0.57,1.0,0.349,0.349
8,1.0,0.993,0.798,1.0,0.986,0.533,1.0,0.457,0.457
9,1.0,0.993,0.816,1.0,0.986,0.565,1.0,0.519,0.519
10,1.0,0.993,0.809,1.0,0.986,0.626,1.0,0.611,0.611
11,1.0,0.993,0.816,1.0,0.986,0.771,1.0,0.725,0.725
12,1.0,0.993,0.836,1.0,0.986,0.855,1.0,0.84,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
