Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.991,0.949,1.0,0.981,0.883,1.0,0.839,0.899
3,1.0,0.991,0.909,1.0,0.981,0.822,1.0,0.722,0.722
4,1.0,0.991,0.851,1.0,0.981,0.736,1.0,0.611,0.611
5,1.0,0.991,0.831,1.0,0.981,0.681,1.0,0.517,0.517
6,1.0,0.991,0.804,1.0,0.981,0.583,1.0,0.452,0.452
7,1.0,0.991,0.804,1.0,0.981,0.503,1.0,0.431,0.431
8,1.0,0.991,0.785,1.0,0.981,0.552,1.0,0.451,0.451
9,1.0,0.991,0.809,1.0,0.981,0.65,1.0,0.518,0.518
10,1.0,0.991,0.835,1.0,0.981,0.748,1.0,0.612,0.612
11,1.0,0.991,0.869,1.0,0.981,0.791,1.0,0.722,0.722
12,1.0,0.991,0.901,1.0,0.981,0.847,1.0,0.839,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
