Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.989,0.971,1.0,0.979,0.917,1.0,0.84,0.9
3,1.0,0.989,0.882,1.0,0.979,0.828,1.0,0.725,0.725
4,1.0,0.989,0.833,1.0,0.979,0.655,1.0,0.612,0.612
5,1.0,0.989,0.788,1.0,0.979,0.586,1.0,0.513,0.513
6,1.0,0.989,0.771,1.0,0.979,0.559,1.0,0.453,0.453
7,1.0,0.989,0.754,1.0,0.979,0.503,1.0,0.432,0.432
8,1.0,0.989,0.803,1.0,0.979,0.607,1.0,0.457,0.457
9,1.0,0.989,0.859,1.0,0.979,0.641,1.0,0.522,0.522
10,1.0,0.989,0.878,1.0,0.979,0.759,1.0,0.614,0.614
11,1.0,0.989,0.915,1.0,0.979,0.848,1.0,0.723,0.723
12,1.0,0.989,0.965,1.0,0.979,0.924,1.0,0.841,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
