Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.965,1.0,0.988,0.954,1.0,0.944,0.957
3,1.0,0.994,0.883,1.0,0.988,0.901,1.0,0.847,0.857
4,1.0,0.994,0.823,1.0,0.988,0.763,1.0,0.528,0.528
5,1.0,0.994,0.788,1.0,0.988,0.634,1.0,0.379,0.379
6,1.0,0.994,0.768,1.0,0.988,0.538,1.0,0.361,0.361
7,1.0,0.994,0.778,1.0,0.988,0.599,1.0,0.438,0.438
8,1.0,0.994,0.772,1.0,0.988,0.668,1.0,0.381,0.381
9,1.0,0.994,0.825,1.0,0.988,0.763,1.0,0.482,0.482
10,1.0,0.994,0.823,1.0,0.988,0.809,1.0,0.585,0.585
11,1.0,0.994,0.887,1.0,0.988,0.874,1.0,0.731,0.81
12,1.0,0.994,0.923,1.0,0.988,0.943,1.0,0.841,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
