Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.974,1.0,0.987,0.923,1.0,0.876,0.892
3,1.0,0.993,0.853,1.0,0.987,0.781,1.0,0.73,0.809
4,1.0,0.993,0.853,1.0,0.987,0.755,1.0,0.589,0.589
5,1.0,0.993,0.842,1.0,0.987,0.73,1.0,0.48,0.48
6,1.0,0.993,0.85,1.0,0.987,0.639,1.0,0.387,0.398
7,1.0,0.993,0.847,1.0,0.987,0.584,1.0,0.323,0.323
8,1.0,0.993,0.781,1.0,0.987,0.519,1.0,0.432,0.432
9,1.0,0.993,0.792,1.0,0.987,0.502,1.0,0.487,0.487
10,1.0,0.993,0.792,1.0,0.987,0.609,1.0,0.527,0.527
11,1.0,0.993,0.847,1.0,0.987,0.751,1.0,0.699,0.699
12,1.0,0.993,0.932,1.0,0.987,0.863,1.0,0.825,0.89
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
