Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.934,1.0,0.986,0.923,1.0,0.785,0.86
3,1.0,0.993,0.873,1.0,0.986,0.829,1.0,0.726,0.726
4,1.0,0.993,0.812,1.0,0.986,0.752,1.0,0.616,0.616
5,1.0,0.993,0.784,1.0,0.986,0.698,1.0,0.522,0.522
6,1.0,0.993,0.745,1.0,0.986,0.626,1.0,0.458,0.458
7,1.0,0.993,0.753,1.0,0.986,0.509,1.0,0.435,0.435
8,1.0,0.993,0.732,1.0,0.986,0.541,1.0,0.455,0.455
9,1.0,0.993,0.753,1.0,0.986,0.64,1.0,0.525,0.525
10,1.0,0.993,0.769,1.0,0.986,0.698,1.0,0.617,0.617
11,1.0,0.993,0.846,1.0,0.986,0.806,1.0,0.726,0.726
12,1.0,0.995,0.964,1.0,0.986,0.955,1.0,0.842,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
