Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.995,0.974,1.0,0.989,0.926,1.0,0.893,0.903
3,1.0,0.995,0.771,1.0,0.989,0.796,1.0,0.695,0.745
4,1.0,0.995,0.747,1.0,0.989,0.722,1.0,0.551,0.551
5,1.0,0.995,0.72,1.0,0.989,0.662,1.0,0.426,0.426
6,1.0,0.995,0.759,1.0,0.989,0.613,1.0,0.31,0.31
7,1.0,0.995,0.743,1.0,0.989,0.539,1.0,0.434,0.434
8,1.0,0.995,0.737,1.0,0.989,0.563,1.0,0.386,0.386
9,1.0,0.995,0.759,1.0,0.989,0.641,1.0,0.424,0.424
10,1.0,0.995,0.777,1.0,0.989,0.701,1.0,0.515,0.515
11,1.0,0.995,0.868,1.0,0.989,0.796,1.0,0.693,0.721
12,1.0,0.995,0.959,1.0,0.989,0.933,1.0,0.821,0.891
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
