Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.871,1.0,0.986,0.866,1.0,0.84,0.899
3,1.0,0.993,0.754,1.0,0.986,0.759,1.0,0.657,0.657
4,1.0,0.993,0.733,1.0,0.986,0.685,1.0,0.523,0.523
5,1.0,0.993,0.741,1.0,0.986,0.583,1.0,0.519,0.519
6,1.0,0.993,0.733,1.0,0.986,0.546,1.0,0.46,0.46
7,1.0,0.993,0.737,1.0,0.986,0.505,1.0,0.309,0.323
8,1.0,0.993,0.741,1.0,0.986,0.62,1.0,0.338,0.354
9,1.0,0.993,0.762,1.0,0.986,0.667,1.0,0.436,0.436
10,1.0,0.993,0.754,1.0,0.986,0.755,1.0,0.53,0.56
11,1.0,0.993,0.778,1.0,0.986,0.815,1.0,0.725,0.725
12,1.0,0.993,0.898,1.0,0.986,0.917,1.0,0.841,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
