Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.988,0.88,1.0,0.977,0.853,1.0,0.841,0.9
3,1.0,0.988,0.895,1.0,0.977,0.794,1.0,0.725,0.725
4,1.0,0.988,0.888,1.0,0.977,0.699,1.0,0.615,0.615
5,1.0,0.988,0.846,1.0,0.977,0.588,1.0,0.522,0.522
6,1.0,0.988,0.811,1.0,0.977,0.544,1.0,0.459,0.459
7,1.0,0.988,0.836,1.0,0.977,0.544,1.0,0.436,0.436
8,1.0,0.988,0.816,1.0,0.977,0.699,1.0,0.46,0.46
9,1.0,0.988,0.859,1.0,0.977,0.809,1.0,0.524,0.524
10,1.0,0.988,0.905,1.0,0.977,0.846,1.0,0.617,0.617
11,1.0,0.988,0.982,1.0,0.977,0.89,1.0,0.726,0.726
12,1.0,0.988,0.987,1.0,0.977,0.926,1.0,0.841,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
