Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.974,1.0,0.987,0.955,1.0,0.78,0.86
3,1.0,0.994,0.899,1.0,0.987,0.847,1.0,0.697,0.718
4,1.0,0.994,0.886,1.0,0.987,0.773,1.0,0.558,0.558
5,1.0,0.994,0.858,1.0,0.987,0.661,1.0,0.431,0.445
6,1.0,0.994,0.839,1.0,0.987,0.607,1.0,0.388,0.4
7,1.0,0.994,0.81,1.0,0.987,0.521,1.0,0.32,0.32
8,1.0,0.994,0.819,1.0,0.987,0.595,1.0,0.397,0.397
9,1.0,0.994,0.816,1.0,0.987,0.665,1.0,0.495,0.495
10,1.0,0.994,0.86,1.0,0.987,0.74,1.0,0.656,0.656
11,1.0,0.994,0.923,1.0,0.987,0.798,1.0,0.723,0.723
12,1.0,0.994,0.956,1.0,0.987,0.897,1.0,0.837,0.897
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
