Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.991,0.994,1.0,0.982,0.965,1.0,0.841,0.9
3,1.0,0.991,0.874,1.0,0.982,0.876,1.0,0.725,0.725
4,1.0,0.991,0.814,1.0,0.982,0.771,1.0,0.614,0.614
5,1.0,0.991,0.818,1.0,0.982,0.706,1.0,0.522,0.522
6,1.0,0.991,0.822,1.0,0.982,0.647,1.0,0.458,0.458
7,1.0,0.991,0.834,1.0,0.982,0.594,1.0,0.434,0.434
8,1.0,0.991,0.826,1.0,0.982,0.547,1.0,0.457,0.457
9,1.0,0.991,0.805,1.0,0.982,0.582,1.0,0.521,0.521
10,1.0,0.991,0.809,1.0,0.982,0.7,1.0,0.613,0.613
11,1.0,0.991,0.818,1.0,0.982,0.747,1.0,0.725,0.725
12,1.0,0.991,0.814,1.0,0.982,0.847,1.0,0.84,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
