Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.992,0.931,1.0,0.984,0.912,1.0,0.861,0.903
3,1.0,0.992,0.867,1.0,0.984,0.855,1.0,0.711,0.744
4,1.0,0.992,0.78,1.0,0.984,0.71,1.0,0.567,0.567
5,1.0,0.992,0.788,1.0,0.984,0.668,1.0,0.441,0.441
6,1.0,0.992,0.771,1.0,0.984,0.617,1.0,0.418,0.43
7,1.0,0.992,0.749,1.0,0.984,0.554,1.0,0.294,0.294
8,1.0,0.992,0.72,1.0,0.984,0.534,1.0,0.343,0.343
9,1.0,0.992,0.749,1.0,0.984,0.637,1.0,0.542,0.542
10,1.0,0.992,0.784,1.0,0.984,0.756,1.0,0.566,0.566
11,1.0,0.992,0.884,1.0,0.984,0.845,1.0,0.723,0.778
12,1.0,0.992,0.884,1.0,0.984,0.876,1.0,0.9,0.911
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
