Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.992,0.856,1.0,0.984,0.845,1.0,0.807,0.879
3,1.0,0.992,0.821,1.0,0.984,0.765,1.0,0.667,0.736
4,1.0,0.992,0.817,1.0,0.984,0.695,1.0,0.514,0.514
5,1.0,0.992,0.813,1.0,0.984,0.663,1.0,0.515,0.515
6,1.0,0.992,0.846,1.0,0.984,0.545,1.0,0.453,0.453
7,1.0,0.992,0.846,1.0,0.984,0.567,1.0,0.419,0.419
8,1.0,0.992,0.843,1.0,0.984,0.604,1.0,0.423,0.423
9,1.0,0.992,0.866,1.0,0.984,0.668,1.0,0.455,0.455
10,1.0,0.992,0.881,1.0,0.984,0.738,1.0,0.504,0.504
11,1.0,0.992,0.917,1.0,0.984,0.818,1.0,0.669,0.669
12,1.0,0.992,0.968,1.0,0.984,0.947,1.0,0.806,0.878
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
