Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.984,1.0,0.988,0.942,1.0,0.882,0.903
3,1.0,0.994,0.976,1.0,0.988,0.895,1.0,0.724,0.799
4,1.0,0.994,0.914,1.0,0.988,0.775,1.0,0.553,0.553
5,1.0,0.994,0.914,1.0,0.988,0.64,1.0,0.457,0.457
6,1.0,0.994,0.914,1.0,0.988,0.605,1.0,0.35,0.35
7,1.0,0.994,0.898,1.0,0.988,0.516,1.0,0.431,0.431
8,1.0,0.994,0.894,1.0,0.988,0.504,1.0,0.336,0.336
9,1.0,0.994,0.873,1.0,0.988,0.612,1.0,0.388,0.388
10,1.0,0.994,0.886,1.0,0.988,0.709,1.0,0.554,0.554
11,1.0,0.994,0.902,1.0,0.988,0.798,1.0,0.724,0.8
12,1.0,0.994,0.961,1.0,0.988,0.915,1.0,0.835,0.892
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
